Metabolite,Biospecimen,Concentration,Patient Status,Age,Sex,Disease
L-Acetylcarnitine (HMDB0000201),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alanine (HMDB0000161),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Arginine (HMDB0000517),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Aspartic acid (HMDB0000191),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citric acid (HMDB0000094),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Creatinine (HMDB0000562),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Fumaric acid (HMDB0000134),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamic acid (HMDB0000148),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hippuric acid (HMDB0000714),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Histidine (HMDB0000177),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Isoleucine (HMDB0000172),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Kynurenic acid (HMDB0000715),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Lactic acid (HMDB0000190),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Leucine (HMDB0000687),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Malic acid (HMDB0000156),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Methionine (HMDB0000696),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
p-Cresol (HMDB0001858),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenol (HMDB0000228),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyruvic acid (HMDB0000243),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Serine (HMDB0000187),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sphinganine (HMDB0000269),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Succinic acid (HMDB0000254),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Threonic acid (HMDB0000943),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Trimethylamine N-oxide (HMDB0000925),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Tryptophan (HMDB0000929),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Tyrosine (HMDB0000158),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Uracil (HMDB0000300),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Urea (HMDB0000294),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Uridine (HMDB0000296),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Valine (HMDB0000883),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
beta-Carotene (HMDB0000561),Blood,0.30 (0.15-0.45) uM,Abnormal,Adult (>18 years old),Female,Endometrial cancer
Lycopene (HMDB0003000),Blood,0.009 (0.008-0.01) uM,Abnormal,Adult (>18 years old),Female,Endometrial cancer
Vitamin A (HMDB0000305),Blood,2.0 (1.2-2.5) uM,Abnormal,Adult (>18 years old),Female,Endometrial cancer
alpha-Tocopherol (HMDB0001893),Blood,30.0 (20.6-33.9) uM,Abnormal,Adult (>18 years old),Female,Endometrial cancer
gamma-Tocopherol (HMDB0001492),Blood,6.2 (3.6-8.4) uM,Abnormal,Adult (>18 years old),Female,Endometrial cancer
11-Dehydrocorticosterone (HMDB0004029),Blood,0.0278 +/- 0.0060 uM,Abnormal,Elderly (>65 years old),Male,Kidney cancer
11-Dehydrocorticosterone (HMDB0004029),Blood,0.0142 +/- 0.0039 uM,Abnormal,Elderly (>65 years old),Male,Kidney cancer
11-Dehydrocorticosterone (HMDB0004029),Blood,0.0204 +/- 0.0034 uM,Abnormal,Elderly (>65 years old),Female,Kidney cancer
11-Dehydrocorticosterone (HMDB0004029),Blood,0.0336 +/- 0.0054 uM,Abnormal,Elderly (>65 years old),Female,Kidney cancer
LysoPE(P-16:0/0:0) (HMDB0011152),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Kidney cancer
Glycerophosphocholine (HMDB0000086),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Kidney cancer
Dehydroepiandrosterone sulfate (HMDB0001032),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Lung Cancer
Sphingosine (HMDB0000252),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Lung Cancer
Phosphorylcholine (HMDB0001565),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Lung Cancer
gamma-Linolenic acid (HMDB0003073),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Lung Cancer
alpha-Hydroxyisobutyric acid (HMDB0000729),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Lung Cancer
L-Serine (HMDB0000187),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Lung Cancer
Linoleic acid (HMDB0000673),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Lung Cancer
Linoelaidic acid (HMDB0006270),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Lung Cancer
Oleic acid (HMDB0000207),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Lung Cancer
Trigonelline (HMDB0000875),Urine,23 +/- 19 umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Hypoxanthine (HMDB0000157),Urine,6.8 +/- 4.8 umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Acetic acid (HMDB0000042),Urine,53.0 +/- 71.0 umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
trans-Aconitic acid (HMDB0000958),Urine,4.5 +/- 4.5 umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Levoglucosan (HMDB0000640),Urine,4.6 +/- 7.1 umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Mannitol (HMDB0000765),Urine,41.0 (0.0-486.0) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Propylene glycol (HMDB0001881),Urine,2.0 (0.0-31.0) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Sucrose (HMDB0000258),Urine,11 (0-159) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
D-Xylose (HMDB0000098),Urine,3.0 (0.0-17.0) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Tartaric acid (HMDB0000956),Urine,5 (0-25) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Ethanol (HMDB0000108),Urine,54.0 (0.0-661.0) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
1-Methylnicotinamide (HMDB0000699),Urine,3.0 (0.0-14.0) umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
alpha-Hydroxyisobutyric acid (HMDB0000729),Urine,5.0 (0.0-8.0) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
3-Hydroxyisovaleric acid (HMDB0000754),Urine,6.0 +/- 2.0 umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
p-Hydroxyphenylacetic acid (HMDB0000020),Urine,16.0 +/- 15.0 umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Acetone (HMDB0001659),Urine,5.0 +/- 5.0 umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
Adipic acid (HMDB0000448),Urine,2.0 (0.0-28.0) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
L-Alanine (HMDB0000161),Urine,23 (10-55) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Betaine (HMDB0000043),Urine,6.0 (0.0-16.0) umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
L-Carnitine (HMDB0000062),Urine,7.0 (0.0-30.0) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Choline (HMDB0000097),Urine,3.0 (0.0-8.0) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Citric acid (HMDB0000094),Urine,268.0 (53.0-1111.0) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Creatine (HMDB0000064),Urine,37.0 (0.0-197.0) umol/mmol creatinine,Abnormal,Not Specified,Both,Lung Cancer
Formic acid (HMDB0000142),Urine,20.0 +/- 11.0 umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
Fumaric acid (HMDB0000134),Urine,0.7 (0.0-4.0) umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
Glycine (HMDB0000123),Urine,84.0 +/- 67.0 umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
Glycolic acid (HMDB0000115),Urine,23.0 +/- 14.0 umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
Hippuric acid (HMDB0000714),Urine,473.0 +/- 617.0 umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
Succinic acid (HMDB0000254),Urine,9.0 +/- 6.0 umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
Taurine (HMDB0000251),Urine,67 +/- 50 umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
Trimethylamine N-oxide (HMDB0000925),Urine,78 +/- 71 umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
L-Valine (HMDB0000883),Urine,3 (0-14) umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
cis-Aconitic acid (HMDB0000072),Urine,32.0 (0.0-70.0) umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Lung Cancer
1-Methyladenosine (HMDB0003331),Blood,0.0860 +/- 0.0095 uM,Abnormal,Adult (>18 years old),Female,Ovarian cancer
2-Methoxyestradiol (HMDB0000405),Blood,0.0010 (0.0033-0.0210) uM,Abnormal,Adult (>18 years old),Female,Ovarian cancer
L-Tryptophan (HMDB0000929),Blood,Not Quantified,Abnormal,Adult (>18 years old),Female,Ovarian cancer
LysoPC(14:0/0:0) (HMDB0010379),Blood,Not Quantified,Abnormal,Adult (>18 years old),Female,Ovarian cancer
2-Piperidinone (HMDB0011749),Blood,Not Quantified,Abnormal,Adult (>18 years old),Female,Ovarian cancer
Cortisone (HMDB0002802),Blood,Not Quantified,Abnormal,Adult (>18 years old),Female,Ovarian cancer
Cer(d18:1/16:0) (HMDB0004949),Blood,Not Quantified,Abnormal,Adult (>18 years old),Female,Ovarian cancer
"LysoPE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) (HMDB0011526)",Blood,Not Quantified,Abnormal,Adult (>18 years old),Female,Ovarian cancer
3-Hydroxydodecanedioic acid (HMDB0000413),Blood,Not Quantified,Abnormal,Adult (>18 years old),Female,Ovarian cancer
"PI(20:4(8Z,11Z,14Z,17Z)/18:1(11Z)) (HMDB0009901)",Blood,Not Quantified,Abnormal,Adult (>18 years old),Female,Ovarian cancer
1-Methyladenosine (HMDB0003331),Urine,Not Quantified,Abnormal,Adult (>18 years old),Female,Ovarian cancer
3-Methyluridine (HMDB0004813),Urine,Not Quantified,Abnormal,Adult (>18 years old),Female,Ovarian cancer
Androstenedione (HMDB0000053),Urine,Not Quantified,Abnormal,Adult (>18 years old),Female,Ovarian cancer
Acetone (HMDB0001659),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
Creatine (HMDB0000064),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
Citric acid (HMDB0000094),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
3-Hydroxybutyric acid (HMDB0000011),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
3-Hydroxyisovaleric acid (HMDB0000754),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
L-Lactic acid (HMDB0000190),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
Trimethylamine N-oxide (HMDB0000925),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
L-Isoleucine (HMDB0000172),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
Creatinine (HMDB0000562),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
L-Glutamic acid (HMDB0000148),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
Choline (HMDB0000097),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
"1,5-Anhydrosorbitol (HMDB0002712)",Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
Betaine (HMDB0000043),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
Methylguanidine (HMDB0001522),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
Dimethylamine (HMDB0000087),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
3-Hydroxybutyric acid (HMDB0000011),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
L-Alanine (HMDB0000161),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
DL-Glutamate (HMDB0060475),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
L-Glutamine (HMDB0000641),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
L-Histidine (HMDB0000177),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
L-Isoleucine (HMDB0000172),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
L-Lysine (HMDB0000182),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
L-Valine (HMDB0000883),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
L-Alanine (HMDB0000161),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
D-alpha-Aminobutyric acid (HMDB0000650),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Aspartic acid (HMDB0000191),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
beta-Alanine (HMDB0000056),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Betaine (HMDB0000043),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Cadaverine (HMDB0002322),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Carnitine (HMDB0000062),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Choline (HMDB0000097),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Citrulline (HMDB0000904),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Ethanolamine (HMDB0000149),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
gamma-Aminobutyric acid (HMDB0000112),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Glutamic acid (HMDB0000148),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Glutamine (HMDB0000641),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Glycerophosphocholine (HMDB0000086),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Glycine (HMDB0000123),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Histidine (HMDB0000177),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Hypoxanthine (HMDB0000157),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Isoleucine (HMDB0000172),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Leucine (HMDB0000687),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Lysine (HMDB0000182),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Methylimidazoleacetic acid (HMDB0002820),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Ornithine (HMDB0000214),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Phenylalanine (HMDB0000159),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Pipecolic acid (HMDB0000070),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Piperidine (HMDB0034301),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Proline (HMDB0000162),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Putrescine (HMDB0001414),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Pyrroline hydroxycarboxylic acid (HMDB0001369),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Serine (HMDB0000187),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Taurine (HMDB0000251),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Threonine (HMDB0000167),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Trimethylamine (HMDB0000906),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Tryptophan (HMDB0000929),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Tyrosine (HMDB0000158),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
L-Valine (HMDB0000883),Saliva,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Pancreatic cancer
Putrescine (HMDB0001414),Urine,0.46 +/- 0.067 umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Pancreatic cancer
Selenomethionine (HMDB0003966),Blood,0.303 +/- 0.099 uM,Abnormal,Adult (>18 years old),Not Specified,Prostate cancer
gamma-Tocopherol (HMDB0001492),Blood,2.3 (2.2-2.43) uM,Abnormal,Adult (>18 years old),Both,Prostate cancer
Nonate (HMDB0011717),Blood,0.5 (0.0-1.0) uM,Abnormal,Adult (>18 years old),Both,Prostate cancer
4-Hydroxybenzaldehyde (HMDB0011718),Blood,0.5 (0.0-1.0) uM,Abnormal,Adult (>18 years old),Both,Prostate cancer
Quinic acid (HMDB0003072),Blood,0.5 (0.0-1.0) uM,Abnormal,Adult (>18 years old),Both,Prostate cancer
Sorbitol-6-phosphate (HMDB0005831),Blood,0.5 (0.0-1.0) uM,Abnormal,Adult (>18 years old),Both,Prostate cancer
Hydrocinnamic acid (HMDB0000764),Blood,0.5 (0.0-1.0) uM,Abnormal,Adult (>18 years old),Both,Prostate cancer
L-Gulonolactone (HMDB0003466),Blood,0.5 (0.0-1.0) uM,Abnormal,Adult (>18 years old),Both,Prostate cancer
Gluconolactone (HMDB0000150),Blood,0.5 (0.0-1.0) uM,Abnormal,Adult (>18 years old),Both,Prostate cancer
Glycyl-glycine (HMDB0011733),Blood,0.5 (0.0-1.0) uM,Abnormal,Adult (>18 years old),Both,Prostate cancer
Galactinol dihydrate (HMDB0011739),Blood,0.5 (0.0-1.0) uM,Abnormal,Adult (>18 years old),Both,Prostate cancer
Turanose (HMDB0011740),Blood,0.5 (0.0-1.0) uM,Abnormal,Adult (>18 years old),Both,Prostate cancer
Kojibiose (HMDB0011742),Blood,0.5 (0.0-1.0) uM,Abnormal,Adult (>18 years old),Both,Prostate cancer
Cholesterol (HMDB0000067),Blood,Not Quantified,Abnormal,Adult (>18 years old),Male,Prostate cancer
Testosterone (HMDB0000234),Blood,Not Quantified,Abnormal,Adult (>18 years old),Male,Prostate cancer
17a-Ethynylestradiol (HMDB0001926),Blood,Not Quantified,Abnormal,Adult (>18 years old),Male,Prostate cancer
Orotidylic acid (HMDB0000218),Prostate Tissue,0.5 (0.0-1.0) umol/g tissue,Abnormal,Adult (>18 years old),Both,Prostate cancer
UDP-N-acetylmuraminate (HMDB0011720),Prostate Tissue,0.5 (0.0-1.0) umol/g tissue,Abnormal,Adult (>18 years old),Both,Prostate cancer
Deoxyuridine triphosphate (HMDB0001191),Prostate Tissue,0.5 (0.0-1.0) umol/g tissue,Abnormal,Adult (>18 years old),Both,Prostate cancer
D-Alanyl-D-alanine (HMDB0003459),Prostate Tissue,0.5 (0.0-1.0) umol/g tissue,Abnormal,Adult (>18 years old),Both,Prostate cancer
Bradykinin (HMDB0004246),Prostate Tissue,0.5 (0.0-1.0) umol/g tissue,Abnormal,Adult (>18 years old),Both,Prostate cancer
Dimethylbenzimidazole (HMDB0003701),Prostate Tissue,0.5 (0.0-1.0) umol/g tissue,Abnormal,Adult (>18 years old),Both,Prostate cancer
1-Kestose (HMDB0011729),Prostate Tissue,0.5 (0.0-1.0) umol/g tissue,Abnormal,Adult (>18 years old),Both,Prostate cancer
Melezitose (HMDB0011730),Prostate Tissue,0.5 (0.0-1.0) umol/g tissue,Abnormal,Adult (>18 years old),Both,Prostate cancer
myo-Inositol 6-phosphate (HMDB0002985),Prostate Tissue,0.5 (0.0-1.0) umol/g tissue,Abnormal,Adult (>18 years old),Both,Prostate cancer
L-Histidinol (HMDB0003431),Prostate Tissue,0.5 (0.0-1.0) umol/g tissue,Abnormal,Adult (>18 years old),Both,Prostate cancer
N-Acetyl-b-glucosaminylamine (HMDB0001104),Prostate Tissue,0.5 (0.0-1.0) umol/g tissue,Abnormal,Adult (>18 years old),Both,Prostate cancer
Ureidosuccinic acid (HMDB0000828),Prostate Tissue,0.5 (0.0-1.0) umol/g tissue,Abnormal,Adult (>18 years old),Both,Prostate cancer
L-Sorbose (HMDB0001266),Urine,0.5 (0.0-1.0) umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Prostate cancer
N-Formyl-L-methionine (HMDB0001015),Urine,0.5 (0.0-1.0) umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Prostate cancer
N-Acetyl-L-glutamic acid (HMDB0001138),Urine,0.5 (0.0-1.0) umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Prostate cancer
N-Acetyl-L-alanine (HMDB0000766),Urine,0.5 (0.0-1.0) umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Prostate cancer
